CoM_Separation_Distance(nm) Free_Energy(kcal/mol)
5.908400000000000318e+00 1.209508600000000023e+01
5.929999999999999716e+00 1.194380300000000084e+01
5.951600000000000001e+00 1.153950599999999937e+01
5.973200000000000287e+00 1.226780300000000068e+01
5.994799999999999685e+00 1.171825100000000042e+01
6.016399999999999970e+00 1.200474299999999950e+01
6.038000000000000256e+00 1.212856999999999985e+01
6.059599999999999653e+00 1.166802599999999934e+01
6.081199999999999939e+00 1.131504299999999930e+01
6.102800000000000225e+00 1.167737699999999990e+01
6.124399999999999622e+00 1.193035300000000021e+01
6.145999999999999908e+00 1.211975200000000008e+01
6.167600000000000193e+00 1.206705000000000005e+01
6.189199999999999591e+00 1.177224499999999985e+01
