Z,Concentration
-38.300000000000004,7.542682620251081
-38.2,7.3607363763961935
-38.1,7.382974250645126
-38.0,7.120163009521391
-37.900000000000006,7.2252875059708845
-37.800000000000004,7.021103387867063
-37.7,7.091860260477299
-37.6,6.95438976512027
-37.5,7.0635575114332045
-37.400000000000006,6.677427149474494
-37.300000000000004,6.9543897651202675
-37.2,6.548043153844346
-37.1,6.376205034648062
-37.0,6.275123788062011
-36.900000000000006,5.967836798440418
-36.800000000000004,5.923361049942556
-36.7,5.89303667596674
-36.6,5.492754939485983
-36.5,5.314851945494533
-36.400000000000006,5.294635696177322
-36.300000000000004,4.991391956419168
-36.2,4.942872958057869
-36.1,4.799337587905673
-36.0,4.643672468163157
-35.900000000000006,4.578980470348086
-35.800000000000004,4.354580102927053
-35.7,4.012925489466204
-35.6,4.079639112212997
-35.5,3.770330497659679
-35.400000000000006,3.715746624503214
-35.300000000000004,3.5984923784633938
-35.2,3.5338003806483216
-35.1,3.0425455222401183
-35.0,3.0304157726497913
-34.900000000000006,2.905075026883087
-34.800000000000004,2.7190855331647548
-34.7,2.6220475364421447
-34.6,2.5088365402657717
-34.5,2.405733668747997
-34.400000000000006,2.2338955495517148
-34.300000000000004,2.0762088048774743
-34.2,1.934695059657004
-34.1,1.8922409360908632
-34.0,1.847765187593002
-33.900000000000006,1.6092134456499219
-33.800000000000004,1.5869755714009897
-33.7,1.475786200156336
-33.6,1.4656780754977297
-33.5,1.3019264560283275
-33.400000000000006,1.3282075801407018
-33.300000000000004,1.2230830836912092
-33.2,1.1765857102616264
-33.1,1.0734828387438549
-33.0,1.0775260886072968
-32.900000000000006,0.9643150924309202
-32.800000000000004,0.9602718425674782
-32.7,0.8976014696841272
-32.6,0.968358342294362
-32.5,0.9461204680454313
-32.400000000000006,0.7843904735077509
-32.300000000000004,0.798541848029798
-32.2,0.7075687261023527
-32.1,0.7763039737808668
-32.0,0.7419363499416094
-31.900000000000002,0.6550064778776062
-31.800000000000004,0.6428767282872805
-31.700000000000003,0.6428767282872804
-31.6,0.6732011022630955
-31.500000000000004,0.6630929776044906
-31.400000000000002,0.6691578523996535
-31.300000000000004,0.6226604789700705
-31.200000000000003,0.6812876019899797
